"id_municipio","Município","Situação do domicílio","Grupo de idade","White","Black","Brown","Indigenous"
"4319158","São Miguel das Missões (RS)","Total","Total","73.30","1.44","22.60","2.42"
"4319208","São Nicolau (RS)","Total","Total","73.31","1.25","25.02","0.37"
"4319307","São Paulo das Missões (RS)","Total","Total","82.66","3.22","13.87","-"
"4319356","São Pedro da Serra (RS)","Total","Total","94.71","2.21","3.07","-"
"4319364","São Pedro das Missões (RS)","Total","Total","70.28","2.35","26.99","-"
"4319372","São Pedro do Butiá (RS)","Total","Total","91.50","1.99","6.51","-"
"4319406","São Pedro do Sul (RS)","Total","Total","86.52","1.83","11.31","0.03"
"4319505","São Sebastião do Caí (RS)","Total","Total","90.10","2.68","6.75","0.23"
"4319604","São Sepé (RS)","Total","Total","78.36","11.71","9.04","0.37"
"4319703","São Valentim (RS)","Total","Total","86.17","1.84","11.85","-"
"4319711","São Valentim do Sul (RS)","Total","Total","92.88","2.94","4.09","-"
"4319737","São Valério do Sul (RS)","Total","Total","51.08","1.80","4.90","41.87"
"4319752","São Vendelino (RS)","Total","Total","95.07","0.58","4.26","-"
"4319802","São Vicente do Sul (RS)","Total","Total","75.95","3.10","20.87","-"
"4319901","Sapiranga (RS)","Total","Total","84.46","1.70","13.13","0.04"
"4320008","Sapucaia do Sul (RS)","Total","Total","87.06","4.76","7.98","0.05"
"4320107","Sarandi (RS)","Total","Total","79.12","1.86","18.31","0.45"
"4320206","Seberi (RS)","Total","Total","81.97","1.94","15.75","0.06"
"4320230","Sede Nova (RS)","Total","Total","80.21","2.74","16.01","0.10"
"4320263","Segredo (RS)","Total","Total","71.77","1.88","25.22","-"
"4320305","Selbach (RS)","Total","Total","85.93","1.20","12.66","0.20"
"4320321","Senador Salgado Filho (RS)","Total","Total","89.02","2.73","7.89","-"
"4320354","Sentinela do Sul (RS)","Total","Total","82.97","5.97","10.62","-"
"4320404","Serafina Corrêa (RS)","Total","Total","87.99","3.29","7.98","-"
"4320453","Sério (RS)","Total","Total","96.41","0.70","2.89","-"
"4320503","Sertão (RS)","Total","Total","80.79","4.74","13.13","0.11"
"4320552","Sertão Santana (RS)","Total","Total","89.50","3.31","5.47","-"
"4320578","Sete de Setembro (RS)","Total","Total","88.21","0.17","11.34","-"
"4320602","Severiano de Almeida (RS)","Total","Total","94.24","0.55","4.93","0.04"
"4320651","Silveira Martins (RS)","Total","Total","86.01","2.81","11.08","-"
"4320677","Sinimbu (RS)","Total","Total","84.33","0.58","13.47","-"
